Jul 14, 2023  04:44:08 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1022, Volts
CEM Gain, 1.31E+003 
Sensitivity Factor, 2.13E-004 
Filament Current, 1.00, mAmps


 55.40,  -8.42E-011, 
 55.50,  -1.03E-010, 
 55.60,  -5.50E-011, 
 55.70,  -8.94E-011, 
 55.80,  -1.22E-010, 
 55.90,  -1.47E-010, 
 56.00,  -1.91E-010, 
 56.10,  -1.73E-010, 
 56.20,  -1.41E-010, 
 56.30,  -1.86E-010, 
 56.40,  -1.29E-010, 
 56.50,  -7.62E-011, 
 56.60,  -6.96E-011, 
 56.70,  -9.08E-011, 
 56.80,  -1.13E-010, 
 56.90,  -1.03E-010, 
 57.00,  -5.27E-011, 
 57.10,  -7.48E-011, 
 57.20,  -1.17E-010, 
 57.30,  -7.15E-011, 
 57.40,  -1.14E-010, 
 57.50,  -1.75E-010, 
 57.60,  -1.59E-010, 
 57.70,  -1.29E-010, 
 57.80,  -9.83E-011, 
 57.90,  -1.69E-010, 
 58.00,  -1.31E-010, 
 58.10,  -8.18E-011, 
 58.20,  -1.00E-010, 
 58.30,  -4.61E-011, 
 58.40,  -2.35E-012, 
 58.50,  -6.63E-011, 
 58.60,  -1.01E-010, 
 58.70,  -8.47E-011, 
 58.80,  -4.61E-011, 
 58.90,  -5.22E-011, 
 59.00,  -9.88E-012, 
 59.10,  -1.88E-011, 
 59.20,  -9.83E-011, 
 59.30,  -1.03E-010, 
 59.40,  -6.73E-011, 
 59.50,  -5.64E-011, 
 59.60,  -3.95E-011, 
 59.70,  -7.86E-011, 
 59.80,  -1.24E-010, 
 59.90,  -6.54E-011, 
 60.00,  -1.04E-010, 
 60.10,  -1.10E-010, 
 60.20,  -1.35E-010, 
 60.30,  -1.23E-010, 
 60.40,  -1.32E-010, 
 60.50,  -1.51E-010, 
 60.60,  -1.49E-010, 
 60.70,  -1.51E-010, 
 60.80,  -1.70E-010, 
 60.90,  -9.64E-011, 
 61.00,  -1.47E-010, 
 61.10,  -1.54E-010, 
 61.20,  -1.40E-010, 
 61.30,  -1.34E-010, 
 61.40,  -1.02E-010, 
 61.50,  -8.89E-011, 
 61.60,  -8.61E-011, 
 61.70,  -1.42E-010, 
 61.80,  -1.37E-010, 
 61.90,  -1.44E-010, 
 62.00,  -1.78E-010, 
 62.10,  -1.66E-010, 
 62.20,  -1.35E-010, 
 62.30,  -1.67E-010, 
 62.40,  -1.44E-010, 
 62.50,  -1.16E-010, 
 62.60,  -1.17E-010, 
 62.70,  -1.48E-010, 
 62.80,  -1.24E-010, 
 62.90,  -1.16E-010, 
 63.00,  -1.47E-010, 
 63.10,  -1.42E-010, 
 63.20,  -1.24E-010, 
 63.30,  -9.27E-011, 
 63.40,  -1.04E-010, 
 63.50,  -7.62E-011, 
 63.60,  -1.33E-010, 
 63.70,  -1.54E-010, 
 63.80,  -1.54E-010, 
 63.90,  -1.02E-010, 
 64.00,  -1.08E-010, 
 64.10,  -1.36E-010, 
 64.20,  -7.90E-011, 
 64.30,  -9.41E-011, 
 64.40,  -5.83E-011, 
 64.50,  -1.27E-010, 
 64.60,  -1.71E-010, 
 64.70,  -1.67E-010, 
 64.80,  -1.42E-010, 
 64.90,  -1.08E-010, 
 65.00,  -1.69E-010, 
